,mean_by_permutation,std_by_permutation,mean_by_model_output
non_vegetated_lands_pd,0.0,0.0,0.0
deciduous_broadleaf_forests_pd,0.0,0.0,0.0
mixed_forests_pd,0.0,0.0,0.0
Area,-5.678942492105156e-07,1.383460530727279e-05,0.0009980617
closed_shrublands_ed,-3.22160029076516e-06,3.7635884719529363e-06,0.00045069202
non_vegetated_lands_lpi,-4.832400436082675e-06,9.218871358196757e-06,0.0010660149
cropland_or_natural_vegetation_mosaics_lpi,-5.49317728721683e-06,3.565517322193657e-05,0.0036374955
permanent_wetlands_ed,-5.782423730396164e-06,4.4310142985605426e-05,0.005607363
deciduous_broadleaf_forests_lpi,-8.62189497605835e-06,2.6239636336555206e-05,0.0047514937
non_vegetated_lands_ed,-1.3454295412141025e-05,1.9556756348007296e-05,0.00092677743
closed_shrublands,-1.5632989806669053e-05,1.538460478591956e-05,0.0017063657
water_bodies_ed,-1.705802474800916e-05,4.998424447614515e-05,0.0055552395
water_bodies_lpi,-1.9990378595725117e-05,1.1106664441542957e-05,0.0034490132
non_vegetated_lands,-2.491566163373143e-05,7.29060564514506e-06,0.0043548374
croplands_lpi,-2.6330097938183642e-05,5.8236423127526495e-05,0.005563553
evergreen_needleleaf_forests_lpi,-4.235581542710383e-05,8.499075684801536e-05,0.006287561
savannas_ed,-0.00010127344668089388,4.427291845701127e-05,0.008468703
