ensemble_fold,grid_min,grid_max,training_size,recall,precision,average_precision,roc_auc,cohen_kappa,f1
1,2,5,389834,0.8918863261943987,0.2689895037575306,0.24638250780497054,0.8687446113079246,0.3538661586640257,0.4133225175359069
1,4,10,389834,0.8925958965209634,0.260152878165462,0.23865223631778784,0.8653291452648408,0.341751868673549,0.40288291190207765
1,8,20,389834,0.8987118404799718,0.2565484585935926,0.23651046109928048,0.8681259401635938,0.33874440173436815,0.3991535718484267
1,16,40,389834,0.9014630706857042,0.2532309977717257,0.2340320853972413,0.8683054843164206,0.3347392340648716,0.39539199010360293
1,24,60,389834,0.896351136964569,0.24899618058956027,0.22922881583400095,0.864517683793472,0.3284714062651446,0.3897298333013987
2,2,5,389834,0.9132818846466287,0.26203239715650856,0.24437120210533372,0.8769206714065786,0.3480890849977464,0.40722629720184733
2,4,10,389834,0.9166981488477521,0.2542301849232542,0.23789742889179932,0.8753170887952453,0.33775376542676183,0.39806422507484723
2,8,20,389834,0.9231927710843374,0.25129387650525237,0.23641420826194126,0.8775903600603602,0.3348592198271344,0.3950537721029524
2,16,40,389834,0.9271460843373494,0.24838612063748236,0.23447364112710198,0.8781161404759364,0.33123009081281374,0.3918058870326173
2,24,60,389834,0.9231927710843374,0.249415115451124,0.23466661182804888,0.8770126557882741,0.33239377193172903,0.392728437575078
3,2,5,389834,0.9225975070365903,0.25285139677117197,0.2377932326847662,0.8768990124437545,0.33615929954871826,0.3969208147731696
3,4,10,389834,0.9292715740918701,0.24939392376334657,0.23584384560416843,0.8788247929545809,0.3323871765086479,0.39324928832858885
3,8,20,389834,0.9337684776348627,0.2463782798095431,0.2338623850148886,0.8799089085239671,0.32892105534366833,0.38988417297903893
3,16,40,389834,0.9358802073334613,0.2429361638510988,0.23103197943317355,0.8793353141555967,0.32428353712241764,0.38574141478081975
3,24,60,389834,0.9353042810520253,0.24509507998792635,0.23294209987396172,0.880187258206672,0.3273887580877356,0.3884083389803484
4,2,5,389834,0.9192842942345925,0.2540659340659341,0.23825165072017843,0.8763384715941939,0.33777583566914215,0.3981058975462764
4,4,10,389834,0.9301966833783263,0.25260512122322876,0.23900066576014284,0.8808222434369194,0.3371498038058258,0.3973149940287444
4,8,20,389834,0.9356082513977251,0.24841318591318592,0.23611342507994326,0.8816170652041513,0.3319935086440493,0.3925898960482142
4,16,40,389834,0.9340659340659341,0.24626410491003356,0.23380825654257814,0.8800665009363415,0.32884677665651096,0.38976710510438034
4,24,60,389834,0.9354154617312512,0.24613199411555825,0.2339373303810021,0.8806108054263608,0.32880754205113694,0.389718875502008
5,2,5,389834,0.9240982956797463,0.2544055867750559,0.2395111619242084,0.8784098019722665,0.3386375418537513,0.3989732620320856
5,4,10,389834,0.9319371727748691,0.25138612825609374,0.23820510881659615,0.8809582511454473,0.335546763915366,0.3959629248197734
5,8,20,389834,0.9362279511533242,0.24714731617458938,0.23505016736666495,0.8811936707382383,0.3301675969801997,0.39106145251396646
5,16,40,389834,0.9360341151385928,0.24419721871049305,0.23224701962092864,0.8798473488726696,0.32600296642407767,0.3873425844228764
5,24,60,389834,0.9373909672417136,0.24763172717497056,0.23571731117447742,0.8820867408122177,0.33109669646043116,0.3917692806221646
6,2,5,389834,0.9270130900436335,0.2518861823668894,0.2377366870434449,0.8787102589061243,0.3354989366537301,0.3961352657004831
6,4,10,389834,0.9351078298037692,0.2505726780508122,0.23804870003853895,0.8821216197732169,0.3348285483708493,0.3952371176349826
6,8,20,389834,0.9378278608898387,0.24827692624215617,0.23641184942208335,0.8824018785436076,0.33193812676792955,0.39261458375696445
6,16,40,389834,0.9399650281717505,0.24451632467401194,0.2332806118561011,0.8816154253286188,0.32678846678641016,0.3880800545461838
6,24,60,389834,0.9393821643675928,0.24517012321890372,0.23378460918070423,0.8817196377406652,0.32770577084137553,0.38885314460350656
7,2,5,389834,0.9258373205741627,0.2521172638436482,0.23770854751576698,0.8786287853513267,0.3359451638328447,0.39631336405529954
7,4,10,389834,0.9313572542901716,0.25086668767727704,0.23759668337029724,0.8807675747767211,0.3349668997392521,0.3952660763055533
7,8,20,389834,0.9379875195007801,0.2488231338264963,0.23695008086063427,0.8828371934345756,0.33281825452780067,0.3933112555705466
7,16,40,389834,0.9379875195007801,0.24355663577902678,0.23200655431373896,0.8804527104627962,0.32531948239013675,0.38670257667725205
7,24,60,389834,0.9374024960998439,0.24632334101972841,0.23448962523592703,0.8815675142379099,0.3292843169249643,0.3901310717039322
8,2,5,389834,0.924817949222594,0.251754620948299,0.23718324853935044,0.877882326262974,0.33522047986869763,0.39577191948117585
8,4,10,389834,0.9326960593055014,0.25141985696255786,0.23836671670925863,0.8816743519540189,0.3359460381288558,0.39607323336923206
8,8,20,389834,0.9383775351014041,0.2470479515350652,0.23535852809517327,0.8821832384934893,0.33031544042911487,0.3911241160692514
8,16,40,389834,0.9387675507020281,0.24518692064785577,0.23368166966614295,0.8815646755856724,0.32774372371981775,0.3888215814554559
8,24,60,389834,0.9381825273010921,0.245359037127703,0.23373148338000999,0.8814541548400464,0.3279778800131291,0.38898771021992246
9,2,5,389834,0.9304655274012964,0.2517136936075243,0.23825579687231604,0.8798117244780633,0.3353763748507619,0.3962358845671268
9,4,10,389834,0.934519155590305,0.25044525929806183,0.2378121800301774,0.8819152540962821,0.3346656299502906,0.395026026604974
9,8,20,389834,0.9386359194840727,0.24801197975833936,0.23631305310971243,0.8827210637439391,0.33170629698087073,0.3923538782012008
9,16,40,389834,0.9417627516122729,0.24421020625348402,0.233325964206639,0.8822773905873296,0.32654483908545295,0.38784708249496985
