sp,recall,precision,average_precision,roc_auc,cohen_kappa,f1
American_Crow,0.971649022070698,0.45816058888230815,0.4504677917759858,0.853826819552127,0.4942960169453532,0.6227000919963201
American_Robin,0.9685362517099864,0.46190503205310035,0.4532829773390768,0.8537609572482622,0.49771261179739235,0.6255017573511054
Turkey_Vulture,0.7332671670491905,0.49572255304872936,0.4115568002995526,0.7846646942115661,0.47966286725772933,0.5915380188655641
Mallard,0.9127366057106192,0.4200191924411309,0.3955271209404595,0.8543346422662493,0.4751155619065991,0.575299529851878
Black-capped_Chickadee,0.9791890329506978,0.48772160750277654,0.4803881098475895,0.9091059234423238,0.5741917428010515,0.6511257550796266
House_Wren,0.9182497664279041,0.3695904233649839,0.35111026119212924,0.8278814072223027,0.40532731192630767,0.5270472572896884
